"","id","sex","age","NAME","rt_sec","Item","meaning","salience","lg_rt","oldage","yrs65","c_mean","c_sal"
"155",4,1,20,"rt_sec2",6.197,2,0,3,1.82406530397997,0,0,-3,0
"156",4,1,20,"rt_sec3",1.381,3,4,2,0.322807874427155,0,0,1,-1
"157",4,1,20,"rt_sec4",1.741,4,4,4,0.554459660786052,0,0,1,1
"158",4,1,20,"rt_sec5",1.408,5,0,5,0.342170257735851,0,0,-3,2
"159",4,1,20,"rt_sec7",1.311,7,3.5,4.5,0.270790204781563,0,0,0.5,1.5
"160",4,1,20,"rt_sec8",2.814,8,5,1.5,1.0346069586922,0,0,2,-1.5
"161",4,1,20,"rt_sec9",9.028,9,0,5,2.20033085895529,0,0,-3,2
"162",4,1,20,"rt_sec10",2.459,10,4,3.5,0.899754763234056,0,0,1,0.5
"163",4,1,20,"rt_sec12",1.228,12,5,4,0.205386829724951,0,0,2,1
"164",4,1,20,"rt_sec14",2.655,14,0,3,0.976444654693902,0,0,-3,0
"165",4,1,20,"rt_sec15",5.636,15,5,2.5,1.72917459403643,0,0,2,-0.5
"166",4,1,20,"rt_sec16",4.467,16,3.5,3,1.49671704236998,0,0,0.5,0
"167",4,1,20,"rt_sec17",9.517,17,5,2,2.25307967309021,0,0,2,-1
"168",4,1,20,"rt_sec20",1.655,20,5,4,0.503801008829026,0,0,2,1
"169",4,1,20,"rt_sec21",1.754,21,0,2.5,0.561898893949991,0,0,-3,-0.5
"170",4,1,20,"rt_sec22",4.105,22,5,4,1.41220574290439,0,0,2,1
"171",4,1,20,"rt_sec24",8.616,24,0,4,2.15362093985409,0,0,-3,1
"172",4,1,20,"rt_sec25",2.46,25,2,2,0.900161349944271,0,0,-1,-1
"173",4,1,20,"rt_sec26",NA,26,0,1.5,NA,0,0,-3,-1.5
"174",4,1,20,"rt_sec27",2.109,27,2,2,0.746213901496638,0,0,-1,-1
"175",4,1,20,"rt_sec28",6.964,28,0.5,1,1.94075402190594,0,0,-2.5,-2
"176",4,1,20,"rt_sec29",NA,29,4,3,NA,0,0,1,0
"177",4,1,20,"rt_sec31",1.909,31,2,4,0.646579544743611,0,0,-1,1
"178",4,1,20,"rt_sec32",3.467,32,2,1.5,1.24328966670289,0,0,-1,-1.5
"179",4,1,20,"rt_sec33",4.585,33,3,2,1.52279010570843,0,0,0,-1
"180",4,1,20,"rt_sec35",2.089,35,1,4,0.736685482574429,0,0,-2,1
"181",4,1,20,"rt_sec36",1.397,36,4,3,0.334327080274825,0,0,1,0
"182",4,1,20,"rt_sec38",17.543,38,1,3,2.86465500994705,0,0,-2,0
"183",4,1,20,"rt_sec39",4.939,39,4,3.5,1.59716288155849,0,0,1,0.5
"184",4,1,20,"rt_sec41",2.822,41,0,2,1.03744585343062,0,0,-3,-1
"185",4,1,20,"rt_sec42",3.518,42,4.5,5,1.25789264631537,0,0,1.5,2
"186",4,1,20,"rt_sec43",1.342,43,5,4.5,0.29416103854949,0,0,2,1.5
"187",4,1,20,"rt_sec44",12.701,44,2,2,2.54168073052218,0,0,-1,-1
"188",4,1,20,"rt_sec46",17.483,46,4,2,2.86122898021551,0,0,1,-1
"189",4,1,20,"rt_sec47",1.412,47,3,2,0.34500713907105,0,0,0,-1
"190",4,1,20,"rt_sec51",1.401,51,0,2.5,0.33718626735487,0,0,-3,-0.5
"191",4,1,20,"rt_sec52",2.367,52,0,2,0.861623330531847,0,0,-3,-1
"192",4,1,20,"rt_sec58",3.488,58,3.5,2,1.24932850604673,0,0,0.5,-1
"193",4,1,20,"rt_sec61",1.359,61,5,4,0.306749135169007,0,0,2,1
"194",4,1,20,"rt_sec63",1.41,63,4,4,0.343589704390077,0,0,1,1
"195",4,1,20,"rt_sec64",6.324,64,0,3.5,1.84435191934723,0,0,-3,0.5
"196",4,1,20,"rt_sec66",2.606,66,4,2,0.957816478702653,0,0,1,-1
"197",4,1,20,"rt_sec67",3.175,67,4,3.5,1.15530763234465,0,0,1,0.5
"198",4,1,20,"rt_sec68",1.408,68,3.5,4,0.342170257735851,0,0,0.5,1
"199",4,1,20,"rt_sec71",4.903,71,5,5,1.5898472626691,0,0,2,2
"200",4,1,20,"rt_sec73",1.268,73,2,3,0.237440856015034,0,0,-1,0
"201",4,1,20,"rt_sec74",41.616,74,0,3,3.7284847087063,0,0,-3,0
"202",4,1,20,"rt_sec78",11.944,78,4,2,2.48022906023689,0,0,1,-1
"203",4,1,20,"rt_sec79",3.524,79,3.5,3,1.25959670807393,0,0,0.5,0
"204",4,1,20,"rt_sec80",5.645,80,0,1,1.73077019760163,0,0,-3,-2
"205",5,0,20,"rt_sec1",1.677,1,3.5,4,0.517006482841072,0,0,0.5,1
"206",5,0,20,"rt_sec2",4.934,2,0,3,1.59615001810717,0,0,-3,0
"207",5,0,20,"rt_sec3",2.465,3,4,2,0.902191807494653,0,0,1,-1
"208",5,0,20,"rt_sec4",1.962,4,4,4,0.673964361143171,0,0,1,1
"209",5,0,20,"rt_sec5",1.402,5,0,5,0.337899788612398,0,0,-3,2
"210",5,0,20,"rt_sec7",1.408,7,3.5,4.5,0.342170257735851,0,0,0.5,1.5
"211",5,0,20,"rt_sec8",3.413,8,5,1.5,1.22759166992457,0,0,2,-1.5
"212",5,0,20,"rt_sec9",2.722,9,0,5,1.00136690422927,0,0,-3,2
"213",5,0,20,"rt_sec10",3.156,10,4,3.5,1.14930540298363,0,0,1,0.5
"214",5,0,20,"rt_sec12",1.401,12,5,4,0.33718626735487,0,0,2,1
"215",5,0,20,"rt_sec14",1.754,14,0,3,0.561898893949991,0,0,-3,0
"216",5,0,20,"rt_sec15",1.408,15,5,2.5,0.342170257735851,0,0,2,-0.5
"217",5,0,20,"rt_sec16",1.762,16,3.5,3,0.566449527513988,0,0,0.5,0
"218",5,0,20,"rt_sec17",8.82,17,5,2,2.1770218700187,0,0,2,-1
"219",5,0,20,"rt_sec20",2.106,20,5,4,0.744790413711784,0,0,2,1
"220",5,0,20,"rt_sec21",10.222,21,0,2.5,2.32454226034609,0,0,-3,-0.5
"221",5,0,20,"rt_sec22",2.809,22,5,4,1.03282854812211,0,0,2,1
"222",5,0,20,"rt_sec24",6.704,24,0,4,1.90270436317978,0,0,-3,1
"223",5,0,20,"rt_sec25",2.106,25,2,2,0.744790413711784,0,0,-1,-1
"224",5,0,20,"rt_sec26",28.222,26,0,1.5,3.34010181563557,0,0,-3,-1.5
"225",5,0,20,"rt_sec27",2.468,27,2,2,0.903408106043141,0,0,-1,-1
"226",5,0,20,"rt_sec28",4.788,28,0.5,1,1.56611278769573,0,0,-2.5,-2
